"","year","pollutant","emission","data_source","baseline_emission","emissions_relative_to_baseline"
"54",1980-01-01,"PM2.5",301.1,"historic",545.8,55.1667277390986
"55",1980-01-01,"SOx (as SO2)",4868.5,"historic",6533.1,74.5205185899496
"56",1981-01-01,"NH3",308.7,"historic",309.8,99.6449322143318
"57",1981-01-01,"NOx (as NO2)",2758.8,"historic",2919.9,94.4826877632796
"58",1981-01-01,"PM10",423.6,"historic",689.4,61.4447345517842
"59",1981-01-01,"PM2.5",286.7,"historic",545.8,52.5283986808355
"60",1981-01-01,"SOx (as SO2)",4421.2,"historic",6533.1,67.6738454944819
"61",1982-01-01,"NH3",316.5,"historic",309.8,102.162685603615
"62",1982-01-01,"NOx (as NO2)",2756.2,"historic",2919.9,94.3936436179321
"63",1982-01-01,"PM10",414.4,"historic",689.4,60.110240789092
"64",1982-01-01,"PM2.5",282,"historic",545.8,51.6672773909857
"65",1982-01-01,"SOx (as SO2)",4231,"historic",6533.1,64.7625170286694
"66",1983-01-01,"NH3",317.4,"historic",309.8,102.453195610071
"67",1983-01-01,"NOx (as NO2)",2723.8,"historic",2919.9,93.2840165759101
"68",1983-01-01,"PM10",408.6,"historic",689.4,59.2689295039165
"69",1983-01-01,"PM2.5",272.4,"historic",545.8,49.9083913521436
"70",1983-01-01,"SOx (as SO2)",3905.3,"historic",6533.1,59.7771348976749
"71",1984-01-01,"NH3",320.5,"historic",309.8,103.453841187863
"72",1984-01-01,"NOx (as NO2)",2690.3,"historic",2919.9,92.1367170108565
"73",1984-01-01,"PM10",365.3,"historic",689.4,52.9881055990717
"74",1984-01-01,"PM2.5",245.8,"historic",545.8,45.0348112861854
"75",1984-01-01,"SOx (as SO2)",3757.6,"historic",6533.1,57.516339869281
"76",1985-01-01,"NH3",317.6,"historic",309.8,102.517753389283
"77",1985-01-01,"NOx (as NO2)",2784.3,"historic",2919.9,95.3560053426487
"78",1985-01-01,"PM10",403.3,"historic",689.4,58.5001450536699
"79",1985-01-01,"PM2.5",270.7,"historic",545.8,49.596921949432
