Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carbon Monoxide,1A1a,Power stations,Waste oils,kilotonne,0.181647065,0.177473047,0.172062284,0.183192998,0.161549943,0.153356501,0.156139179,0.159076451,0.157839705,0.159231044,0.138515549,0.129394548,0.127848615,0.126457276,0.126457276,0.126148089,0.124138377,0.128003208,0.131249667,0.129703734,0.129865505,0.122488344,0.129513309,0.135544364,0.136502123,0.151058781,0.156689353,0.236590188,0.32792208,0.293214371,0.313116605,0.329644245,0.381158097,0.414730425,0.517042188,0.294867549,0,0,0,0.131533161,0.192388191,0.170743989,0.14242804,0.142061637,0.145589401,0.140070463,0.133899649,0.141240193,0.303525868,0.264346436,0.18271785,0.176494087
Carbon Monoxide,1A1a,Power stations,Poultry litter,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024928235,0.06809469,0.306096145,0.32146254,0.322691719,0.238640976,0.174018037,0.223937454,0.419112377,0.620669541,0.653393015,0.786873677,0.431485302,0.382623545,0.258683713,0.318651682,0.269840709,0.2612457,0.347688441,0.320530078,0.280986815,0.287777912,0.267436511,0.274271837,0.280390963,0.312467816,0.315515484,0.334701422,0.333619899,0.338720327
Carbon Monoxide,1A1a,Power stations,Liquid bio-fuels,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169581369,2.192696921,1.541065314,0.927345386,0.428896455,0.143809273,0.260576447,0.233938537,0.129390859,0.128707495,0.047389708,0.06238406,0.014581337,0.024988499,0.010845922,0.018034051,0,0
Carbon Monoxide,1A1a,Heat supply,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141127236,0.164703786,0.187770138,0.199299884,0.17294618,0.082355324,0.103767708,0.082904359,0.091139892,0.085100501,0.074668827,0.074668827,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902,0.07455902
Carbon Monoxide,1A1a,Heat supply,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01122603,0.010786226,0.011009409,0.01384131,0.01384131,0.010818495,0.016577752,0.018614175,0.018614175,0.018518718,0.017214134,0.017245953,0.015362263,0.015705909,0.017000946,0.016714574,0.016714574,0.016835487,0.014044952,0.015744092,0.01582364,0.016211833,0.018375532,0.020466047,0.020278314,0.021735629,0.021557442,0.023107032,0.023889782,0.025563467,0.026037571,0.028589463,0.02841764,0.027685801
Carbon Monoxide,1A1b,Refineries - combustion,Fuel oil,kilotonne,1.233513373,1.154257614,1.203830714,1.326539437,1.29287869,1.151197546,1.09458629,1.044707183,1.12702301,1.182716246,1.176290103,0.99635811,0.986259886,0.82193424,0.775115201,0.695859442,0.677499034,0.619357744,0.623641839,0.637106138,0.642920267,0.705039646,0.72370606,0.747574589,0.77327916,0.728296162,0.718656948,0.719850374,0.685455211,0.535205877,0.31340462,0.371130891,0.513549697,0.515270328,0.414668164,0.392542327,0.264535698,0.248649224,0.145209677,0.206583366,0.142859239,0.136289232,0.081886841,0.106531582,0.034244232,0.057155439,0.053273843,0.042975226,0.046730979,0.030870692,0.024338524,0.033581804
Carbon Monoxide,1A1b,Refineries - combustion,Gas oil,kilotonne,0.853815614,0.839818636,1.091764227,1.105761205,1.217737023,1.546665989,1.420693193,1.399697727,1.343709818,1.126756671,1.217737023,1.357706796,0.9238005,0.51088967,0.419909318,0.370919898,0.314931989,0.489894205,0.552880602,0.482895716,0.475897227,0.46190025,0.46190025,0.496892693,0.594871534,0.706847352,0.811824682,1.072868308,1.133755159,0.804826193,0.992031217,0.242230864,0.281775701,1.151672522,1.077490973,1.158801362,0.261506526,0,0,0,0,0.003180755,0.000214588,0,0,0,5.20E-05,4.69E-05,5.26E-05,5.68E-05,0,0
Carbon Monoxide,1A1b,Refineries - combustion,LPG,kilotonne,0.026126021,0.030282433,0.039189031,0.046908082,0.045720536,0.042157897,0.045126763,0.046314309,0.010094144,0.007125278,0.004750186,0.00178132,0.004750186,0.019000742,0.026719794,0.021969608,0.004750186,0.005937732,0.004150475,0.004863002,0.004821782,0.004761272,0.004518143,0.003626671,0.001681641,0.00249207,0.002789356,0.003067946,0.010535852,0.010535852,0.008829986,0.008427859,0.002207496,0.004368925,0.004319206,0.009530679,0.010060095,0.009220805,0.000866121,0.001463114,0.001360016,0.003286463,0.002141017,0.001866353,0.002365795,0.001655116,0.001707577,0.001728961,0.002293705,0.001680864,0.001050604,0.001137934
Carbon Monoxide,1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,0.215908567,0.215908567,0.215908567,0.215908567,0.215908567,0.215908567,0.215908567,0.215908567,0.215908567,0.073863457,0.017045413,0.022727218,0.039772631,0.193181349,0.227272176,0.244317589,0.267044807,0.249999393,0.176135936,0.170454132,0.119317892,0.244317589,0.261363002,0.329544655,0.329544655,0.181817741,0.306817437,0,0,0,0.086477063,0.153310471,0.058116025,0,0,0,0,0,0,0,0,0,0,0.392063063,0,0.249376451,0,0,0,0,0,0
Carbon Monoxide,1A1b,Refineries - combustion,Naphtha,kilotonne,1.353956276,1.353956276,1.353956276,1.353956276,1.353956276,1.353956276,1.353956276,1.353956276,1.353956276,1.198584244,0.924833522,0.60669079,0.614089458,0.340338736,0.273750722,0.192365373,0.310744063,0.273750722,0.221960045,0.155372032,0.81379476,0.843389433,0.835990764,0.806396092,0.739808078,0.621429387,0.621429387,0.747206746,0.747206746,0.776801419,0.634253897,0.626513346,0.629223925,0.586479414,0.539509269,0.52159923,0.534680792,0.490125195,0.375299189,0.088127064,1.032913149,0.638209683,1.048996311,0.770294958,0.99788563,0.612011885,0.263429817,0.387321163,0.302200035,0.172358517,0,0.007090332
