Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Poultry litter,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042931908,0.117274048,0.447465728,0.386000884,0.279753806,0.387905724,0.365401156,0.398440532,0.637071698,0.925932565,0.819251751,0.841391991,0.75602752,0.581711888,0.471592561,0.489344906,0.566520822,0.593747861,0.76528068,0.6213946,0.586780111,0.644027865,0.615120621,0.658779974,0.663046328,0.794354949,0.954396322,1.004642472,1.013855569,0.998002746
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Liquid bio-fuels,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062971227,0.776021253,1.330372092,0.227783821,0.073132088,0.065540546,0.040976825,0.047757081,0.183893946,0.249927225,0.016552683,0.022339378,0.004096799,0.006442404,0.000509818,0.000672918,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Heat supply,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258069093,0.301181812,0.343361569,0.364445174,0.316254077,0.150597179,0.189752446,0.151601161,0.166660878,0.155617085,0.136541443,0.136541443,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646,0.136340646
Nitrogen oxides (NOx expressed as NO2),1A1a,Heat supply,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35421248,0.340335447,0.347377494,0.43673182,0.43673182,0.341353606,0.523074203,0.587328999,0.587328999,0.584317056,0.543153827,0.544157808,0.484722121,0.495565118,0.536427153,0.527391322,0.527391322,0.53120645,0.4431573,0.496769895,0.499279848,0.511528419,0.57979914,0.645760705,0.639837216,0.685819555,0.68019726,0.729091144,0.753789081,0.806598492,0.821557812,0.902077104,0.896655606,0.873564038
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Fuel oil,kilotonne,25.41280191,23.77997738,24.80128075,27.32932182,26.63584422,23.71693396,22.55063072,21.523023,23.21889095,24.36628117,24.23388999,20.52693699,20.31889371,16.93346215,15.96889785,14.33607332,13.95781281,12.75998786,12.84824865,13.12563969,13.24542218,12.82556782,13.16513363,11.3693597,12.03711143,10.20736536,9.626404452,8.97915479,9.653476475,7.190390471,4.605249872,6.721346872,7.408318247,6.124566723,5.626152798,5.022790621,4.666002649,5.180120185,3.684218553,3.650512293,2.13541473,2.063560455,1.220960707,1.228110419,0.469388795,0.915855901,1.028119056,0.839981321,0.832485185,0.542571829,0.420163523,0.607137017
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Gas oil,kilotonne,5.366983729,5.279000389,6.862700506,6.950683845,7.654550564,9.72215905,8.930308991,8.798333981,8.446400622,7.082658855,7.654550564,8.534383962,5.806900428,3.211391903,2.639500194,2.331558505,1.979625146,3.079416894,3.475341923,3.035425224,2.991433554,2.561372407,2.561372407,2.303591955,2.822738386,3.019901247,3.314867653,4.07002388,4.877990465,3.310580559,4.46317175,1.343164295,1.244546559,4.191212666,4.476049961,4.539813749,1.412256822,0,0,0,0,0.014745394,0.000979634,0,0,0,0.000307084,0.000280599,0.000287001,0.000305899,0,0
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,LPG,kilotonne,0.227428485,0.26361029,0.341142728,0.408337508,0.397999849,0.366986874,0.39283102,0.403168679,0.087870097,0.062025951,0.041350634,0.015506488,0.041350634,0.165402535,0.232597315,0.191246681,0.041350634,0.051688292,0.036130116,0.042332711,0.041973886,0.03659729,0.034728492,0.023305182,0.011060686,0.014758042,0.015787352,0.016132426,0.062695626,0.059808676,0.054824001,0.06449252,0.013455506,0.021942078,0.02476154,0.05152824,0.074976589,0.081167929,0.009285197,0.010924449,0.008589755,0.021025547,0.013488713,0.009091084,0.013702045,0.011206266,0.013924274,0.014279059,0.017265223,0.012482641,0.007663483,0.008692863
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,1.606133571,1.606133571,1.606133571,1.606133571,1.606133571,1.606133571,1.606133571,1.606133571,1.606133571,0.549466748,0.126800019,0.169066692,0.29586671,1.437066879,1.690666917,1.817466936,1.986533627,1.859733609,1.310266861,1.268000188,0.887600131,1.608514728,1.720736686,1.813856782,1.856553601,0.922251013,1.487406789,0,0,0,0.389062338,0.850102863,0.256686788,0,0,0,0,0,0,0,0,0,0,1.383838546,0,1.223476066,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Naphtha,kilotonne,8.580877325,8.580877325,8.580877325,8.580877325,8.580877325,8.580877325,8.580877325,8.580877325,8.580877325,7.596186484,5.861255003,3.844983282,3.891873322,2.156941841,1.734931481,1.219141041,1.969381681,1.734931481,1.406701201,0.984690841,5.157532136,4.717140464,4.675759157,3.77066093,3.525944733,2.666661451,2.548617845,2.847084224,3.22192852,3.195303157,2.853523182,3.474001392,2.779155433,2.134339319,2.241197839,2.043459246,2.887524866,3.126296849,2.915398387,0.476802167,4.727245565,2.958622107,4.788858342,2.718858152,4.187901997,3.002616694,1.556556065,2.317891691,1.648301317,0.927500342,0,0.039248199
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37978194,0.144916793,0.039977046,0.049971308,0.054968439,0.054968439,0.049971308,0.046388095,0.042014211,0.292141827,0.308318234,0.249084543,0.285062273,0.32988183,0.321625831,0.437534368,0.462095328,0.574576181,0.790626824,0.793271191,0.642378042,0.653223232,0.953363458,1.467062973,1.626615929,1.172241692,1.362836458,1.13441688,1.473516158,1.15702515,1.208103158,1.273615339,1.13181922,1.516674598,1.292929735,1.6195733,1.695219251,1.814613502,1.783659205
